# blade,v2_Ra20
# notes,"PETG, 0.2mm, Ra 20"
# fan_rpm,500
# wind_mps,10.24
# instrument,"Chroma,63004-150-60,630041501113,2.01"
# protocol,94bed28333f7
# protocol_detail,scaling=v2;step=0.02000;frac=0.0000;dwell=1.00;voff=0.500;range=low;floor=0.00000;operate=80.0;collapse=0.700;confirm=2
fan_rpm,wind_mps,blade,demand_a,held_a,volts,amps,watts,tracking,note,fan_rpm_actual,motor_amps
1300,27.29,v2_Ra20,0.2689,0.2689,2.9269,0.2689,0.7870,1,,1286,9.80
1400,29.42,v2_Ra20,0.0060,0.0060,16.4061,0.0060,0.0984,1,,1386,10.40
1400,29.42,v2_Ra20,0.0120,0.0120,16.0128,0.0120,0.1922,1,,1386,10.40
1400,29.42,v2_Ra20,0.0240,0.0240,15.1804,0.0240,0.3643,1,,1386,10.40
1400,29.42,v2_Ra20,0.0361,0.0361,14.5544,0.0361,0.5254,1,,1386,10.40
1400,29.42,v2_Ra20,0.0481,0.0481,14.1471,0.0481,0.6805,1,,1386,10.40
1400,29.42,v2_Ra20,0.0601,0.0601,13.5396,0.0601,0.8137,1,,1386,10.40
1400,29.42,v2_Ra20,0.0721,0.0721,13.0235,0.0721,0.9390,1,,1386,10.40
1400,29.42,v2_Ra20,0.0842,0.0842,12.5367,0.0842,1.0556,1,,1386,10.40
1400,29.42,v2_Ra20,0.0962,0.0962,11.9959,0.0962,1.1540,1,,1386,10.40
1400,29.42,v2_Ra20,0.1082,0.1082,11.6922,0.1082,1.2651,1,,1386,10.40
1400,29.42,v2_Ra20,0.1202,0.1202,11.3270,0.1202,1.3615,1,,1386,10.40
1400,29.42,v2_Ra20,0.1322,0.1322,10.7092,0.1322,1.4158,1,,1386,10.40
1400,29.42,v2_Ra20,0.1443,0.1443,10.2151,0.1443,1.4740,1,,1386,10.40
1400,29.42,v2_Ra20,0.1563,0.1563,9.8221,0.1563,1.5352,1,,1386,10.40
1400,29.42,v2_Ra20,0.1683,0.1683,9.4446,0.1683,1.5895,1,,1386,10.40
1400,29.42,v2_Ra20,0.1803,0.1803,8.9913,0.1803,1.6211,1,,1386,10.40
1400,29.42,v2_Ra20,0.1923,0.1923,8.2288,0.1923,1.5824,1,,1386,10.40
1400,29.42,v2_Ra20,0.2044,0.2044,7.8808,0.2044,1.6108,1,,1386,10.40
1400,29.42,v2_Ra20,0.2164,0.2164,7.5197,0.2164,1.6273,1,,1386,10.40
1400,29.42,v2_Ra20,0.2284,0.2284,6.9328,0.2284,1.5835,1,,1386,10.40
1400,29.42,v2_Ra20,0.2404,0.2404,6.9273,0.2404,1.6653,1,,1386,10.40
1400,29.42,v2_Ra20,0.2525,0.2525,6.1940,0.2525,1.5640,1,,1386,10.40
1400,29.42,v2_Ra20,0.2645,0.2645,5.9067,0.2645,1.5623,1,,1386,10.40
1400,29.42,v2_Ra20,0.2765,0.2765,5.2733,0.2765,1.4581,1,,1386,10.40
1400,29.42,v2_Ra20,0.2885,0.2885,4.6876,0.2885,1.3524,1,,1386,10.40
1400,29.42,v2_Ra20,0.3005,0.3005,4.2002,0.3005,1.2622,1,,1386,10.40
1400,29.42,v2_Ra20,0.3126,0.3126,3.6242,0.3126,1.1329,1,,1386,10.40
